"Player Name","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","fpts"
"Denzel Mims","DET","8.4","115.3","0.5","0.0","0.4","0.0","0.0","14.3"
"Brandon Powell","MIN","12.6","90.2","0.5","0.8","26.6","0.0","0.1","14.2"
"Andre Baccellia","ARI","9.1","117.0","0.4","0.0","0.0","0.0","0.0","14.2"
"Cody Thompson","SEA","9.3","108.1","0.5","0.0","0.0","0.0","0.0","13.7"
"Deven Thompkins","TB","6.3","85.9","0.4","0.0","16.6","0.2","0.0","13.7"
"Damiere Byrd","CAR","7.7","103.4","0.5","0.0","0.4","0.0","0.0","13.7"
"DeAndre Carter","LV","8.7","106.1","0.4","0.6","7.3","0.0","0.2","13.4"
"Tre'Quan Smith","NO","7.5","103.1","0.4","0.1","0.3","0.0","0.0","12.9"
"Phillip Dorsett II","LV","10.6","91.9","0.6","0.1","1.3","0.0","0.0","12.7"
"Bryan Edwards","NO","10.5","100.7","0.4","0.0","1.2","0.0","0.0","12.6"
"Velus Jones Jr.","CHI","3.4","73.9","0.2","0.4","31.8","0.1","0.1","12.3"
"Jamison Crowder","NYG","3.3","113.2","0.1","0.1","0.9","0.0","0.1","12.0"
"Scott Miller","ATL","7.4","91.8","0.3","0.4","3.8","0.0","0.0","11.7"
"Jalen Tolbert","DAL","3.3","97.0","0.2","0.7","3.5","0.0","0.1","11.4"
"Amari Rodgers","HOU","8.6","86.0","0.4","0.3","4.7","0.0","0.1","11.1"
"Lance McCutcheon","LAR","6.5","83.7","0.4","0.0","0.0","0.0","0.0","10.9"
"River Cracraft","MIA","7.7","82.4","0.4","0.1","0.9","0.0","0.0","10.8"
"Marquez Callaway","DEN","3.4","87.2","0.3","0.0","0.4","0.0","0.0","10.7"
"Andrei Iosivas","CIN","0.0","105.5","0.0","0.4","2.7","0.0","0.1","10.6"
"Byron Pringle","WAS","6.8","80.9","0.4","0.0","0.0","0.0","0.0","10.6"
"Jakeem Grant Sr.","CLE","5.0","54.4","0.2","0.0","24.4","0.2","0.0","10.1"
"Ihmir Smith-Marsette","KC","2.5","61.2","0.4","0.0","11.5","0.1","0.0","10.0"
"Dante Pettis","CHI","6.5","79.9","0.2","0.1","4.5","0.0","0.0","9.8"
"Ray-Ray McCloud III","SF","3.9","46.4","0.2","2.8","26.9","0.3","0.1","9.7"
"Mike Strachan","IND","5.7","68.0","0.3","0.0","0.0","0.0","0.0","8.8"
"Cole Beasley","NYG","7.5","62.9","0.4","0.0","0.0","0.0","0.0","8.4"
"Bryce Ford-Wheaton","NYG","0.0","81.8","0.0","0.3","2.1","0.0","0.1","8.2"
"Jalen Reagor","MIN","4.4","51.4","0.2","2.9","11.5","0.1","0.1","7.9"
"Demetric Felton Jr.","CLE","0.0","70.1","0.0","0.3","1.8","0.0","0.0","7.2"
"Joe Reed","CHI","2.7","48.2","0.2","0.0","7.7","0.0","0.0","7.0"
"Kaylon Geiger Sr.","TB","3.3","46.3","0.3","0.0","5.3","0.1","0.0","7.0"
"Gunner Olszewski","PIT","2.2","37.9","0.2","0.0","20.5","0.0","0.0","6.8"
"Maurice Alexander","DET","3.6","48.1","0.3","0.0","0.0","0.0","0.0","6.8"
"Matthew Slater","NE","2.1","54.4","0.2","0.0","1.1","0.0","0.0","6.8"
"Montrell Washington","DEN","2.9","49.5","0.2","0.2","7.9","0.0","0.0","6.7"
"Trinity Benson","DET","3.5","46.7","0.3","0.0","0.0","0.0","0.0","6.6"
"Quintez Cephus","DET","0.0","64.2","0.0","0.0","0.0","0.0","0.0","6.4"
"Dezmon Patmon","BUF","3.6","44.1","0.3","0.0","0.0","0.0","0.0","6.4"
"Isaiah Coulter","BUF","3.6","44.6","0.3","0.0","0.0","0.0","0.0","6.4"
"KaVontae Turpin","DAL","3.9","45.9","0.2","0.2","3.8","0.0","0.0","6.4"
"Easop Winston Jr.","SEA","3.6","48.3","0.2","0.0","2.1","0.0","0.0","6.4"
"Simi Fehoko","DAL","3.5","42.3","0.3","0.0","0.0","0.0","0.0","6.3"
"Stanley Morgan Jr.","CIN","3.8","42.9","0.3","0.0","0.0","0.0","0.0","6.2"
"Danny Gray","SF","1.5","54.7","0.1","0.4","2.3","0.0","0.1","6.0"
"Jacob Harris","JAC","3.7","46.3","0.2","0.0","0.0","0.0","0.0","6.0"
"Dontayvion Wicks","GB","0.9","57.9","0.0","0.4","1.6","0.0","0.1","6.0"
"KeeSean Johnson","BUF","3.6","41.1","0.3","0.0","0.0","0.0","0.0","6.0"
"Jalen Virgil","DEN","3.4","42.9","0.3","0.0","0.0","0.0","0.0","5.9"
"Jaelon Darden","CLE","2.4","45.1","0.2","0.0","2.9","0.0","0.0","5.9"
"Kevin Austin Jr.","JAC","3.3","42.5","0.2","0.0","1.4","0.0","0.0","5.8"
"Jaydon Mickens","NYG","2.1","44.9","0.2","0.0","2.6","0.0","0.0","5.8"
"James Proche II","BAL","2.1","46.6","0.1","0.0","2.9","0.0","0.0","5.7"
"Brandon Johnson","DEN","3.2","39.9","0.2","0.0","0.7","0.0","0.0","5.3"
"Erik Ezukanma","MIA","3.6","42.3","0.2","0.0","0.0","0.0","0.0","5.3"
"Alex Erickson","NYJ","3.6","40.5","0.2","0.0","0.0","0.0","0.0","5.2"
"Miles Boykin","PIT","3.3","41.5","0.2","0.0","0.0","0.0","0.0","5.2"
"Trent Taylor","CIN","2.3","32.2","0.2","0.0","5.8","0.0","0.0","5.1"
"C.J. Saunders","CAR","3.4","40.1","0.2","0.0","0.0","0.0","0.0","5.1"
"Dez Fitzpatrick","PIT","3.3","40.4","0.2","0.0","0.0","0.0","0.0","5.1"
"Cody White","PIT","3.4","40.0","0.2","0.0","0.0","0.0","0.0","5.0"
"Cam Sims","LV","3.4","44.7","0.1","0.1","0.3","0.0","0.0","5.0"
"Keke Coutee","NO","3.4","39.0","0.2","0.0","0.0","0.0","0.0","4.9"
"Daylen Baldwin","CLE","3.1","38.9","0.2","0.0","0.0","0.0","0.0","4.9"
"Marquez Stevenson","CAR","3.1","38.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Keelan Cole Sr.","LV","3.3","38.7","0.2","0.0","0.0","0.0","0.0","4.9"
"Mason Kinsey","TEN","3.1","38.5","0.2","0.0","0.0","0.0","0.0","4.9"
"Michael Woods II","CLE","3.1","38.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Racey McMath","TEN","3.0","37.8","0.2","0.0","0.0","0.0","0.0","4.8"
"David Sills V","NYG","0.0","45.1","0.0","0.3","2.0","0.0","0.0","4.7"
"Juwann Winfree","IND","0.0","45.1","0.0","0.3","2.0","0.0","0.0","4.7"
"Chris Conley","SF","3.0","35.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Tylan Wallace","BAL","3.0","39.8","0.1","0.2","1.0","0.0","0.0","4.6"
"Malik Turner","IND","2.9","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Tyrie Cleveland","PHI","3.1","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Vyncint Smith","IND","2.8","34.0","0.2","0.0","0.0","0.0","0.0","4.4"
"Josh Ali","ATL","2.8","32.7","0.2","0.0","0.0","0.0","0.0","4.3"
"Tim Jones","JAC","2.3","33.8","0.1","0.0","0.6","0.0","0.0","4.3"
"Jeff Cotton Jr.","GB","2.3","29.5","0.2","0.0","2.0","0.0","0.0","4.2"
"Dareke Young","SEA","2.7","32.1","0.2","0.0","0.3","0.0","0.0","4.1"
"Frank Darby","ATL","1.6","31.1","0.1","0.0","0.5","0.0","0.0","3.9"
"Austin Trammell","LAR","1.7","31.8","0.1","0.0","0.4","0.0","0.0","3.9"
"Daurice Fountain","CHI","2.4","28.8","0.2","0.0","0.0","0.0","0.0","3.9"
"Nsimba Webster","CHI","2.4","28.7","0.2","0.0","0.0","0.0","0.0","3.9"
"Keith Kirkwood","NO","2.4","29.9","0.1","0.0","0.1","0.0","0.0","3.9"
"Anthony Schwartz","CLE","3.0","27.6","0.1","0.4","3.7","0.1","0.1","3.7"
"Jalen Camp","HOU","1.6","26.0","0.1","0.0","3.3","0.0","0.0","3.7"
"James Washington","NO","2.1","27.9","0.1","0.0","0.1","0.0","0.0","3.6"
"Dax Milne","WAS","3.5","30.2","0.1","0.1","0.8","0.0","0.1","3.6"
"Tom Kennedy","DET","1.9","28.6","0.1","0.1","0.5","0.0","0.0","3.6"
"Seth Williams","JAC","2.0","25.5","0.1","0.0","0.1","0.0","0.0","3.3"
"Kawaan Baker","NO","1.6","20.0","0.2","0.0","0.0","0.0","0.0","2.9"
"Breshad Perriman","IND","1.1","16.6","0.1","0.0","0.7","0.0","0.0","2.3"
"Blake Proehl","MIN","0.0","11.6","0.0","0.0","0.3","0.0","0.0","1.2"
"Keelan Doss","LAC","0.5","7.0","0.1","0.0","0.6","0.0","0.0","1.1"
"Britain Covey","PHI","0.0","8.1","0.0","0.0","1.1","0.0","0.0","0.9"
